time,symbol,timeframe,open,high,low,close,tick_volume,real_volume,spread
2025-10-29 05:00:00,XAUUSD,H1,3961.22,3972.16,3958.37,3963.37,4540,0,6
2025-10-29 06:00:00,XAUUSD,H1,3963.38,3965.05,3951.36,3952.0,4531,0,10
2025-10-29 07:00:00,XAUUSD,H1,3951.07,3966.34,3950.76,3962.61,4910,0,5
2025-10-29 08:00:00,XAUUSD,H1,3962.52,3985.06,3959.89,3978.25,5019,0,5
2025-10-29 09:00:00,XAUUSD,H1,3977.27,4001.6,3975.05,4001.5,5156,0,5
2025-10-29 10:00:00,XAUUSD,H1,4001.66,4018.16,4000.57,4016.9,5335,0,5
2025-10-29 11:00:00,XAUUSD,H1,4016.42,4029.5,4013.42,4024.01,5206,0,5
2025-10-29 12:00:00,XAUUSD,H1,4024.18,4029.72,4017.46,4023.35,5092,0,6
2025-10-29 13:00:00,XAUUSD,H1,4023.44,4028.72,4013.5,4016.09,5090,0,5
2025-10-29 14:00:00,XAUUSD,H1,4016.68,4030.22,4014.03,4025.48,5347,0,5
2025-10-29 15:00:00,XAUUSD,H1,4025.36,4025.36,4002.58,4012.4,5705,0,5
2025-10-29 16:00:00,XAUUSD,H1,4012.14,4022.32,4007.75,4008.53,5609,0,10
2025-10-29 17:00:00,XAUUSD,H1,4008.65,4012.03,3989.12,3993.03,5546,0,5
2025-10-29 18:00:00,XAUUSD,H1,3993.06,4001.18,3991.52,3992.97,4836,0,5
2025-10-29 19:00:00,XAUUSD,H1,3992.86,3997.76,3985.52,3994.68,4737,0,6
2025-10-29 20:00:00,XAUUSD,H1,3994.59,4006.87,3943.03,3969.38,6593,0,5
2025-10-29 21:00:00,XAUUSD,H1,3969.5,3979.57,3928.04,3945.78,6321,0,5
2025-10-29 22:00:00,XAUUSD,H1,3945.54,3954.03,3927.89,3930.07,5010,0,5
2025-10-30 00:00:00,XAUUSD,H1,3927.13,3948.33,3916.16,3941.41,5051,0,5
2025-10-30 01:00:00,XAUUSD,H1,3941.3,3953.94,3939.56,3952.81,4344,0,5
2025-10-30 02:00:00,XAUUSD,H1,3952.81,3964.19,3938.13,3950.27,4899,0,10
2025-10-30 03:00:00,XAUUSD,H1,3951.01,3966.44,3945.17,3947.94,5405,0,5
2025-10-30 04:00:00,XAUUSD,H1,3947.9,3948.03,3921.43,3921.86,4960,0,6
2025-10-30 05:00:00,XAUUSD,H1,3921.84,3938.21,3915.08,3938.01,4294,0,5
2025-10-30 06:00:00,XAUUSD,H1,3938.1,3981.86,3935.02,3972.7,5120,0,5
2025-10-30 07:00:00,XAUUSD,H1,3972.69,3978.55,3947.18,3963.64,5160,0,5
2025-10-30 08:00:00,XAUUSD,H1,3963.69,3976.95,3956.5,3976.72,4933,0,5
2025-10-30 09:00:00,XAUUSD,H1,3975.72,3977.11,3955.94,3961.58,4683,0,5
2025-10-30 10:00:00,XAUUSD,H1,3961.53,3976.72,3960.08,3976.53,4847,0,6
2025-10-30 11:00:00,XAUUSD,H1,3976.42,4011.8,3976.0,3998.62,5152,0,5
2025-10-30 12:00:00,XAUUSD,H1,3998.16,4001.01,3973.77,3984.26,4882,0,5
2025-10-30 13:00:00,XAUUSD,H1,3984.31,3984.88,3963.78,3974.35,4870,0,5
2025-10-30 14:00:00,XAUUSD,H1,3974.45,3985.04,3960.84,3961.47,5184,0,5
2025-10-30 15:00:00,XAUUSD,H1,3961.64,3995.33,3959.93,3995.33,5480,0,5
2025-10-30 16:00:00,XAUUSD,H1,3995.28,4014.61,3986.58,3996.33,5674,0,5
2025-10-30 17:00:00,XAUUSD,H1,3996.73,4008.13,3988.44,4002.02,5313,0,5
2025-10-30 18:00:00,XAUUSD,H1,4001.76,4003.96,3991.65,4001.28,4894,0,5
2025-10-30 19:00:00,XAUUSD,H1,4001.32,4017.82,3994.39,4004.28,4650,0,5
2025-10-30 20:00:00,XAUUSD,H1,4004.88,4017.7,4000.3,4015.81,4706,0,5
2025-10-30 21:00:00,XAUUSD,H1,4016.27,4026.07,4015.35,4023.55,5149,0,5
2025-10-30 22:00:00,XAUUSD,H1,4023.44,4027.32,4016.42,4024.23,3578,0,5
2025-10-31 00:00:00,XAUUSD,H1,4021.05,4046.34,4009.81,4037.9,3806,0,5
2025-10-31 01:00:00,XAUUSD,H1,4038.0,4043.09,4019.55,4036.73,4850,0,5
2025-10-31 02:00:00,XAUUSD,H1,4036.72,4036.99,4024.01,4025.0,4842,0,5
2025-10-31 03:00:00,XAUUSD,H1,4025.04,4038.98,4013.39,4018.9,5384,0,5
2025-10-31 04:00:00,XAUUSD,H1,4018.92,4019.13,4001.56,4011.12,5138,0,5
2025-10-31 05:00:00,XAUUSD,H1,4011.34,4013.83,3990.96,3996.41,4742,0,6
2025-10-31 06:00:00,XAUUSD,H1,3996.43,4010.53,3989.19,4005.79,4321,0,5
2025-10-31 07:00:00,XAUUSD,H1,4005.48,4011.41,3994.1,4005.08,4657,0,5
2025-10-31 08:00:00,XAUUSD,H1,4005.34,4014.94,4002.0,4013.14,4643,0,5
2025-10-31 09:00:00,XAUUSD,H1,4012.98,4025.3,4007.61,4021.03,4817,0,5
2025-10-31 10:00:00,XAUUSD,H1,4021.21,4026.76,4006.52,4010.4,4839,0,5
2025-10-31 11:00:00,XAUUSD,H1,4010.37,4013.89,3998.93,4008.5,4642,0,5
2025-10-31 12:00:00,XAUUSD,H1,4008.7,4016.72,4003.64,4007.48,4393,0,5
2025-10-31 13:00:00,XAUUSD,H1,4007.46,4011.23,4001.7,4010.48,4385,0,7
2025-10-31 14:00:00,XAUUSD,H1,4010.39,4036.36,4009.26,4022.99,5114,0,9
2025-10-31 15:00:00,XAUUSD,H1,4022.98,4035.01,4010.25,4017.03,5485,0,5
2025-10-31 16:00:00,XAUUSD,H1,4016.64,4027.42,4010.7,4020.62,5399,0,5
2025-10-31 17:00:00,XAUUSD,H1,4020.61,4022.44,4009.42,4012.91,5245,0,5
2025-10-31 18:00:00,XAUUSD,H1,4012.88,4015.12,3972.58,3980.76,5616,0,5
2025-10-31 19:00:00,XAUUSD,H1,3980.95,4003.57,3980.75,3997.69,5135,0,5
2025-10-31 20:00:00,XAUUSD,H1,3997.7,4010.19,3995.81,4000.01,4734,0,5
2025-10-31 21:00:00,XAUUSD,H1,3999.97,4005.63,3991.31,4001.15,5050,0,5
2025-10-31 22:00:00,XAUUSD,H1,4000.92,4006.61,3996.19,4002.14,3061,0,5
2025-11-03 01:00:00,XAUUSD,H1,3989.66,3998.95,3977.82,3979.88,4724,0,5
2025-11-03 02:00:00,XAUUSD,H1,3979.54,3987.61,3962.74,3971.03,4843,0,5
2025-11-03 03:00:00,XAUUSD,H1,3971.0,4001.8,3965.48,3995.83,5470,0,5
2025-11-03 04:00:00,XAUUSD,H1,3996.17,4006.54,3990.37,4004.06,4763,0,5
2025-11-03 05:00:00,XAUUSD,H1,4004.16,4015.6,4002.37,4011.03,4431,0,5
2025-11-03 06:00:00,XAUUSD,H1,4011.04,4014.55,4001.67,4003.67,4081,0,5
2025-11-03 07:00:00,XAUUSD,H1,4003.64,4018.82,3997.63,4014.07,4296,0,6
2025-11-03 08:00:00,XAUUSD,H1,4014.16,4018.66,4010.21,4017.44,4373,0,5
2025-11-03 09:00:00,XAUUSD,H1,4017.3,4026.05,4013.5,4025.19,4488,0,5
2025-11-03 10:00:00,XAUUSD,H1,4025.21,4027.67,4011.24,4019.77,4952,0,5
2025-11-03 11:00:00,XAUUSD,H1,4019.99,4025.86,3993.48,4000.76,5181,0,5
2025-11-03 12:00:00,XAUUSD,H1,4000.8,4004.77,3994.32,3999.05,4619,0,5
2025-11-03 13:00:00,XAUUSD,H1,3998.98,4008.51,3994.2,4007.58,4604,0,6
2025-11-03 14:00:00,XAUUSD,H1,4007.62,4013.39,4001.66,4013.12,4427,0,5
2025-11-03 15:00:00,XAUUSD,H1,4013.12,4020.67,4010.66,4016.08,5113,0,5
2025-11-03 16:00:00,XAUUSD,H1,4015.86,4025.95,4001.84,4022.53,5322,0,5
2025-11-03 17:00:00,XAUUSD,H1,4023.12,4030.74,4003.71,4008.34,5691,0,5
2025-11-03 18:00:00,XAUUSD,H1,4008.47,4013.33,3995.29,4008.28,5174,0,5
2025-11-03 19:00:00,XAUUSD,H1,4008.26,4012.08,4003.54,4006.19,4473,0,5
2025-11-03 20:00:00,XAUUSD,H1,4006.19,4009.73,3999.64,4006.8,4372,0,5
2025-11-03 21:00:00,XAUUSD,H1,4006.88,4008.31,3994.68,4004.72,4860,0,9
2025-11-03 22:00:00,XAUUSD,H1,4004.74,4014.79,4004.73,4010.21,4473,0,5
2025-11-03 23:00:00,XAUUSD,H1,4009.78,4009.98,3999.71,4001.21,2618,0,13
2025-11-04 01:00:00,XAUUSD,H1,4001.56,4005.77,3980.98,3997.67,4056,0,5
2025-11-04 02:00:00,XAUUSD,H1,3997.7,3999.3,3977.83,3986.48,4933,0,5
2025-11-04 03:00:00,XAUUSD,H1,3986.47,3994.54,3979.63,3987.42,5248,0,5
2025-11-04 04:00:00,XAUUSD,H1,3987.38,3987.38,3975.51,3986.71,4808,0,5
2025-11-04 05:00:00,XAUUSD,H1,3987.02,3999.38,3981.66,3994.66,4511,0,5
2025-11-04 06:00:00,XAUUSD,H1,3994.52,3995.19,3983.58,3985.51,4313,0,16
2025-11-04 07:00:00,XAUUSD,H1,3985.09,3986.93,3973.08,3973.45,4726,0,5
2025-11-04 08:00:00,XAUUSD,H1,3973.44,3987.82,3966.91,3985.24,5084,0,5
2025-11-04 09:00:00,XAUUSD,H1,3985.23,3996.34,3982.33,3993.95,4719,0,5
2025-11-04 10:00:00,XAUUSD,H1,3994.17,4000.69,3990.59,3996.04,4799,0,5
2025-11-04 11:00:00,XAUUSD,H1,3995.81,3999.38,3990.35,3991.17,4638,0,5
2025-11-04 12:00:00,XAUUSD,H1,3991.13,3997.37,3985.87,3993.86,4564,0,5
2025-11-04 13:00:00,XAUUSD,H1,3994.04,4000.21,3991.61,3995.5,3919,0,16
2025-11-04 14:00:00,XAUUSD,H1,3995.52,3997.58,3983.39,3984.67,4552,0,5
2025-11-04 15:00:00,XAUUSD,H1,3984.3,3995.96,3972.0,3975.93,5240,0,5
2025-11-04 16:00:00,XAUUSD,H1,3975.24,3977.55,3928.9,3956.82,5620,0,5
2025-11-04 17:00:00,XAUUSD,H1,3956.93,3967.73,3941.09,3956.8,5492,0,5
2025-11-04 18:00:00,XAUUSD,H1,3956.86,3976.02,3956.77,3969.02,5109,0,5
2025-11-04 19:00:00,XAUUSD,H1,3969.33,3970.98,3952.43,3955.11,5022,0,5
2025-11-04 20:00:00,XAUUSD,H1,3954.79,3956.85,3932.19,3937.76,5217,0,5
2025-11-04 21:00:00,XAUUSD,H1,3937.76,3943.98,3934.77,3937.36,5120,0,5
2025-11-04 22:00:00,XAUUSD,H1,3937.48,3942.02,3931.48,3938.72,4846,0,5
2025-11-04 23:00:00,XAUUSD,H1,3938.7,3938.7,3930.63,3931.85,2333,0,5
2025-11-05 01:00:00,XAUUSD,H1,3934.14,3940.35,3930.83,3934.74,4137,0,14
2025-11-05 02:00:00,XAUUSD,H1,3934.74,3943.18,3929.03,3939.88,4878,0,5
2025-11-05 03:00:00,XAUUSD,H1,3940.36,3949.39,3934.03,3937.07,5240,0,10
2025-11-05 04:00:00,XAUUSD,H1,3937.02,3950.88,3935.68,3948.58,4643,0,5
